Please enter the parameters (l, L (lambda), g, u0, v0): 
Parameters:
l = 1
L = 0.1
g = 1

u0 = 1
v0 = 0

y = 0.1
w = 1
T = 6.28319
ss = 0.314159

t           EE          RK          AS          
0           1           1           1           
0.3142      0.917       0.9595      0.9521      
0.6283      0.7608      0.8436      0.8167      
0.9425      0.5464      0.6638      0.6121      
1.257       0.2942      0.4366      0.3619      
1.571       0.02917     0.1833      0.09262     
1.885       -0.222      -0.0718     -0.1691     
2.199       -0.4357     -0.3046     -0.3988     
2.513       -0.5944     -0.4948     -0.5767     
2.827       -0.6877     -0.6285     -0.689      
3.142       -0.7126     -0.6982     -0.7292     
3.456       -0.6714     -0.7026     -0.6977     
3.77        -0.5713     -0.6453     -0.6019     
4.084       -0.4242     -0.5344     -0.4549     
4.398       -0.2457     -0.3819     -0.2736     
4.712       -0.05442    -0.2034     -0.07746    
5.027       0.1302      -0.01671    0.1141      
5.341       0.2904      0.1602      0.2832      
5.655       0.4123      0.3113      0.4151      
5.969       0.487       0.4241      0.4996      
6.283       0.5108      0.4911      0.5315      
6.597       0.4849      0.5091      0.5111      
6.912       0.4145      0.4798      0.4434      
7.226       0.3089      0.4085      0.3378      
7.54        0.1799      0.3038      0.2066      
7.854       0.04131     0.1772      0.06373     
8.168       -0.09263    0.04151     -0.07646    
8.482       -0.209      -0.08981    -0.2009     
8.796       -0.2976     -0.2046     -0.2986     
9.111       -0.3517     -0.2932     -0.3621     
9.425       -0.3684     -0.349      -0.3874     
9.739       -0.3485     -0.3689     -0.3743     
10.05       -0.2961     -0.3534     -0.3266     
10.37       -0.2183     -0.306      -0.2508     
10.68       -0.1239     -0.2329     -0.1558     
11          -0.02331    -0.1423     -0.05176    
11.31       0.07329     -0.04386    0.05081     
11.62       0.1566      0.05277     0.1423      
11.94       0.2193      0.1385      0.2147      
12.25       0.2565      0.2059      0.2624      
12.57       0.2664      0.2499      0.2822      
12.88       0.2497      0.2677      0.2741      
13.19       0.2096      0.2593      0.2405      
13.51       0.1516      0.2271      0.186       
13.82       0.08223     0.1755      0.1173      
14.14       0.009146    0.1105      0.04161     
14.45       -0.06025    0.03895     -0.03342    
14.77       -0.1193     -0.03189    -0.1007     
15.08       -0.163      -0.09541    -0.1543     
15.39       -0.1878     -0.146      -0.1901     
15.71       -0.1927     -0.1797     -0.2056     
16.02       -0.1784     -0.1945     -0.2007     
16.34       -0.1475     -0.1899     -0.177      
16.65       -0.104      -0.1678     -0.138      
16.96       -0.05295    -0.1311     -0.08823    
17.28       7.939e-05   -0.08432    -0.03316    
17.59       0.04977     -0.03237    0.02171     
17.91       0.09142     0.01949     0.07118     
18.22       0.1214      0.06635     0.1109      
18.54       0.1376      0.1041      0.1376      
